コード,発行済株式数
4052,5856107
4053,40055360
4054,14412440
4055,7633200
4056,17191031
4057,4125700
4058,11008000
4059,2987000
4060,5835200
4061,88555840
4062,281721114
4063,1984995865
4064,9419659
4068,1889679
4069,3617946
4071,42390750
4072,10800677
4073,2538660
4074,7682500
4075,5966000
4076,2906000
4078,16000000
4082,24400000
4088,229755057
4091,433092837
4092,8922775
4093,35020000
4094,20280000
4095,132604524
4097,55577526
4098,3027626
4099,44869563
4100,6099192
4102,2355200
4107,51351350
4109,12973248
4112,16827452
4113,14440000
4114,150000000
4116,72452440
4118,63000000
4119,1575899
4120,1373000
4124,846700
4125,4320420
4151,525634500
4165,41260663
4166,2771055
4167,7916230
4168,12987500
4169,42883212
4170,17083711
4171,2969000
4172,2228000
4174,4196562
4175,5502900
4176,24056700
4177,3986402
4178,3793300
4179,5433066
4180,102753487
4182,211686599
4183,401687630
4186,127800000
4187,22410038
4188,1441467207
4189,37149400
4192,35542200
4193,5475400
4194,40431700
4196,2544000
4197,1158500
4198,6637500
4199,2598212
4202,256142682
4203,88249856
4204,405507285
4205,209251256
4206,67590664
4208,106200107
4212,31813598
4216,19800400
4218,20738006
4220,51274821
4221,12414870
4222,15637144
4224,4625309
4228,46988109
4229,8998308
4231,20111598
4234,11320000
4235,16965200
4237,29786400
4238,10120000
4240,5692800
4241,4436800
4242,2822472
4243,2323000
4245,13672100
4246,70997800
4247,2634800
4248,12529200
4249,14410000
4251,19285152
4255,2117521
4256,6066000
4258,8830400
4259,96955500
4260,11493548
4261,1477600
4262,6388677
4263,16868100
4264,6206420
4265,4767800
4270,2255500
4272,148700000
4274,4032000
4275,22940600
4284,26820594
4286,11552731
4287,12229888
4288,3815734
4290,127176300
4293,211409654
4299,11000000
4301,18623520
4307,581241511
4308,28057400
4310,9534316
4316,3561900
4317,14328976
4318,56552028
4320,17039400
4323,24836920
4324,265800000
4326,40426000
4331,14619330
4334,11096000
4335,2466000
4337,15668713
4341,3500000
4343,19784125
4344,139115100
4345,42000000
4346,13471240
4347,7500000
4350,30642600
4351,4268000
4356,5716800
4360,8625000
4361,1220000
4362,23822447
4365,4512651
4366,33600000
4367,4900000
4368,106533000
4369,32498640
4370,6147434
4371,17610800
4372,3892600
4373,237208300
4374,3871678
4375,55805701
4376,60415372
4377,18431440
4378,3525250
4379,15651200
4380,4890800
4381,2911799
4382,15206964
4384,0
4385,165130633
4386,5942340
4387,4749860
4388,6304298
4389,11865000
4390,13087400
4391,3301000
4392,35167729
4393,4003000
4394,3025500
4395,7790673
4396,20800000
4397,16519400
4398,4626674
4401,103768142
4403,236524128
4404,10306895
4406,37286906
4409,21350000
4410,26080396
4412,8230000
4413,32148708
4414,6197920
4415,6145000
4416,4841200
4417,15309600
4418,16181100
4419,51898340
4420,20000000
4421,3059000
4422,8719200
4424,6757800
4425,11328167
4426,2000000
4427,10228470
4428,6259000
4429,4550300
4430,4920300
4431,19693800
4432,35020470
4433,17899333
4434,7938261
4436,15369700
4437,7568760
4438,8435582
4439,30067000
4440,4176000
4441,10695000
4442,21450000
4443,126800600
4444,2049093
4445,2690968
4446,14174100
4447,6583500
4448,42643354
4449,29841402
4450,3143810
4452,453600000
4461,10684321
4462,15153680
4463,17710000
4464,22274688
4465,5943052
4471,23534752
4475,32500600
4476,4087850
4477,117931657
4478,59781402
4479,12748700
4480,32738600
4481,18812400
4482,21054400
4483,65443808
4484,16245228
4486,7963200
4487,12105900
4488,3999950
4490,9284922
4491,2038000
4492,11727700
4493,10390644
4494,4544461
4495,5311450
4496,7193400
4498,16650800
4499,11563000
4502,1591266609
4503,1809663075
4506,449204554
4507,889632195
4512,34838325
4516,70251484
4519,1679057667
4521,44139730
4523,291649149
4524,4150000
4526,30705100
4527,236178310
4528,498692800
4530,0
4531,21974000
4534,36390000
4536,322290154
4538,9451169
4539,4261420
4540,76758362
4543,1480559680
4544,57492622
4547,46541985
4548,56814093
4549,34541438
4552,129686308
4553,51516000
4554,26541100
4556,4558860
4558,11660734
4559,50119190
4563,398834550
4564,398643700
4565,92462693
4568,1894350529
4569,59945641
4570,9314590
4571,83221758
4572,20612469
4574,50636900
4575,19713655
4576,57483412
4577,28854880
4578,542988917
4579,26031413
4582,76361760
4583,76543100
4584,49630919
4586,59365100
4587,130010400
4588,29309700
4591,55972640
4592,78058883
4593,135002200
4594,138891300
4595,19051200
4596,148794288
4597,273414365
4598,14225000
4599,62681200
4611,29710678
4612,2370512215
4613,177976280
4615,34060000
4616,1000000
4617,55000000
4619,23611200
4620,30850000
4623,4500000
4624,2000000
4625,7242000
4626,116839616
4627,8144400
4628,15673885
4629,4592000
4631,95156904
4633,50000000
4634,50286544
4635,13628790
4641,20746675
4642,7396800
4644,10649000
4645,10604888
4650,8997000
4651,48919396
4657,4789041
4658,35784000
4659,10771200
4661,1800450800
4662,16292942
4664,3120000
4665,48000000
4666,171048369
4667,5548979
4668,25803600
4671,10680177
4673,1057980
4674,42000000
4676,169123000
4678,6710000
4679,7540000
4680,289161942
4681,217041598
4684,492000000
4685,12779712
4686,64224800
4687,50227200
4689,6884612986
4691,12170000
4694,40749426
4704,140901604
4705,4536000
4707,5969024
4709,34459424
4712,18967410
4714,171806159
4716,128312571
4718,19012452
4719,14052400
4720,8937840
4722,95328000
4725,20541400
4728,7763040
4732,474000000
4733,75404000
4735,8396000
4736,5355390
4743,27911900
4746,18700000
4750,7618000
4751,507102170
4752,4810000
4754,4732600
4755,2180113100
4760,915444
4761,11200000
4762,8261600
4763,23009000
4765,138066903
4766,11229800
4767,48969096
4768,380004240
4769,7732270
4771,15714400
4772,115904831
4776,52757800
4777,28024900
4783,8140000
4784,304698528
4792,19896000
4800,15123200
4801,11466300
4809,10440600
4811,12163800
4812,195547440
4813,39962100
4814,13015222
4816,210000000
4819,47788132
4820,70514800
4825,47376000
4826,64798288
4828,60000000
4829,38534900
4832,31412000
4833,72602015
4838,17029205
4839,28844400
4840,8930000
4845,17768859
4847,26340000
4848,35215449
4849,49716000
4880,19847779
4881,48927700
4882,16999600
4883,96334098
4884,8383200
4885,4095500
4886,28763199
4887,115487137
4888,35034100
4889,13776900
4890,25794300
4891,45565767
4892,10091200
4893,43399118
4894,8273376
4896,11622600
4901,1243877184
4902,502664337
4911,400000000
4912,279782746
4914,100761985
4917,0
4918,6414000
4919,32305534
4920,2099376
4922,60592541
4923,32373036
4925,3935000
4926,4281200
4927,229136156
4928,34156623
4929,8043600
4931,21855200
4932,10394000
4933,17791270
4934,8720534
4935,31207700
4936,24107000
4937,3663068
4951,23000000
4956,70414880
4958,42708154
4960,16623613
4966,18099000
4967,78050000
4968,20652400
4970,8143390
4971,19571093
4972,16600000
4973,6067200
4974,120415600
4975,26219049
4976,4065000
4977,18373974
4978,95147891
4979,11072000
4980,174741400
4985,22209900
4990,11979000
4992,27485531
4994,7047500
4996,133184612
4997,81967082
4998,16490000
5010,22400000
5011,31685955
5013,13900065
5015,22975189
5016,928463102
5018,9696500
5019,1223217590
5020,2706766549
5021,165041722
5022,1906800
5025,2744000
5026,8388100
5027,61391200
5028,8513871
5029,4377916
5031,13966000
5032,61090529
5033,6484101
5034,3777950
5035,7094200
5036,48366400
5037,200000
5038,15271802
5071,8435050
5072,251000
5074,70659130
5076,274845024
5077,400000
5078,3491900
5079,5202800
5101,166396381
5103,76293426
5105,154111029
5108,1334037042
5110,263043057
5121,20074968
5122,17699367
5125,4661100
5126,1631700
5129,15657400
5130,300000
5131,13897000
5132,7877526
5133,17111742
5134,3944576
5135,30000000
5136,5937572
5137,37959480
5138,4916000
5139,21343600
5142,14562714
5161,37000000
5162,4618520
5184,14371500
5185,15909130
5186,29272503
5187,9664327
5189,2024000
5192,31104198
5194,10937449
5195,44213536
5199,1286199
5201,217434681
5202,142340462
5204,4219554
5208,33603924
5210,11145249
5214,89523246
5216,51164275
5218,25450000
5232,32068117
5233,118191578
5237,12075000
5240,12265280
5242,1026100
5243,19368800
5244,42568400
5246,27225514
5247,2827000
5248,16922400
5249,1120000
5250,3565200
5251,90000
5252,4151100
5253,65650100
5254,6954295
5255,64900722
5256,1285800
5257,1402500
5258,36996800
5261,5564200
5262,58695000
5268,13233000
5269,57777432
5271,1440840
5273,83946396
5279,3064200
5280,8030248
5282,31530000
5283,1758400
5284,6306000
5285,11580000
5287,3568000
5288,38089792
5290,57706700
5301,224943104
5302,11832504
5304,20694340
5310,20992588
5331,56206996
5332,166358397
5333,292243496
5334,199247720
5337,33360600
5341,9070419
5344,12372000
5351,47146830
5355,7045200
5356,12909828
5357,19594000
5363,45477000
5367,12135695
5368,8707200
5380,831682
5381,14451920
5384,80098500
5388,14450000
5391,7778000
5393,190985751
5401,5373633760
5406,396345963
5408,63079256
5410,17145211
5411,639438399
5423,110064249
5440,44898730
5444,62000000
5445,25335915
5446,3994000
5449,42279982
5451,156272250
5458,3008000
5461,28000000
5463,252000000
5464,38831900
5471,217243845
5480,15497333
5482,64520820
5484,7550000
5491,6700000
5525,2955000
5527,12455253
5528,1000000
5531,200000
5532,5789150
5533,3512800
5534,4440000
5535,64635100
5536,4000000
5537,8183600
5541,19577071
5542,7020000
5563,137386472
5570,14839000
5571,4878690
5572,4315320
5573,550000
5574,9973957
5575,5116869
5576,2367000
5578,10407180
5580,1682900
5581,4200000
5582,4798602
5584,1045000
5586,15948051
5587,3449600
5588,11263700
5589,7268600
5590,16950800
5591,6107654
5592,11459482
5594,1000000
5597,4047901
5598,400000
5599,5627200
5602,63992450
5603,3362163
5609,4825050
5612,3293074
5616,2420550
5617,200000
5618,8536800
5619,3552750
5620,1555900
5621,9593200
5622,650000
5631,74415909
5632,15709968
5644,3157382
5658,51755478
5659,31265190
5660,5912999
5695,2970000
5697,6091000
5698,30317388
5699,3427200
5702,43629235
5703,61993750
5704,5598500
5706,57415430
5707,14706021
5711,131489535
5713,290814015
5714,61989206
5715,32545568
5721,177566337
5724,5144600
5726,36800000
5727,0
5729,10423600
5741,185312772
5742,5500000
5753,2370000
5757,8867000
5801,70666917
5802,793940571
5803,1775180526
5805,30826861
5816,12558251
5817,5791555
5819,7028060
5820,4479965
5821,17627800
5830,313408831
5831,580129069
5832,184771461
5834,15927200
5838,174509480
5840,665000
5842,34975000
5843,2869800
5844,301362752
5845,26653900
5851,31809471
5852,25546717
5856,108957800
5857,86853534
5858,2148000
5866,590100
5867,3148100
5868,3728700
5869,10211250
5870,5332100
